,num_characters,words_count,num_locations,main_character,main_location,us_viewers_in_millions,views,imdb_votes,imdb_rating
63,18,2654.0,13,Homer Simpson,Simpson Home,15.3,63355.0,1666.0,8.9
64,38,2487.0,19,Homer Simpson,Simpson Home,14.6,83561.0,1330.0,8.7
65,30,2372.0,13,Bart Simpson,Simpson Home,,54155.0,913.0,7.7
66,41,2334.0,13,Marge Simpson,Elsewhere,16.9,59088.0,973.0,8.0
67,29,2406.0,12,Else,Elsewhere,12.7,59196.0,967.0,7.8
68,24,2730.0,14,Else,Springfield Elementary School,14.9,48414.0,1158.0,7.4
69,40,2350.0,14,Homer Simpson,Simpson Home,10.6,31033.0,925.0,7.7
70,41,2665.0,15,Lisa Simpson,Simpson Home,9.3,22318.0,978.0,8.0
71,13,761.0,1,Homer Simpson,Simpson Home,8.9,15780.0,1119.0,5.1
72,43,2751.0,13,Homer Simpson,Elsewhere,9.4,27710.0,1042.0,8.2
73,29,2255.0,13,Bart Simpson,Simpson Home,8.9,20739.0,906.0,7.8
74,42,2521.0,24,Else,Elsewhere,7.4,23426.0,949.0,7.9
75,42,2530.0,25,Homer Simpson,Elsewhere,10.2,26299.0,1108.0,8.5
76,40,2197.0,19,Homer Simpson,Simpson Home,8.6,53823.0,931.0,8.1
77,28,2466.0,11,Homer Simpson,Simpson Home,7.95,53216.0,988.0,8.2
78,29,1857.0,11,Homer Simpson,Simpson Home,8.5,83169.0,1013.0,8.0
79,42,2532.0,12,Homer Simpson,Elsewhere,8.5,56762.0,975.0,8.2
80,54,2351.0,24,Homer Simpson,Simpson Home,8.8,57693.0,834.0,7.7
81,31,2692.0,18,Homer Simpson,Simpson Home,7.6,53449.0,795.0,7.5
82,31,2431.0,13,Homer Simpson,Simpson Home,8.5,47851.0,831.0,7.6
83,37,2465.0,21,Else,Elsewhere,7.26,44242.0,789.0,7.2
84,36,2293.0,27,Homer Simpson,Elsewhere,8.0,55947.0,964.0,7.9
85,39,2478.0,21,Homer Simpson,Elsewhere,6.7,46141.0,797.0,7.5
86,41,2566.0,25,Homer Simpson,Elsewhere,8.4,51431.0,817.0,7.6
87,28,2420.0,13,Else,Elsewhere,9.2,40465.0,747.0,7.1
88,29,2271.0,7,Homer Simpson,Elsewhere,11.3,43949.0,747.0,7.3
89,41,2538.0,20,Homer Simpson,Simpson Home,10.8,47392.0,887.0,7.9
90,37,2430.0,22,Else,Moe's Tavern,9.4,52891.0,755.0,7.3
91,28,2334.0,18,Homer Simpson,Simpson Home,7.46,52176.0,805.0,6.6
92,33,2295.0,18,Marge Simpson,Simpson Home,7.5,54146.0,737.0,7.3
93,39,1738.0,27,Homer Simpson,Simpson Home,13.2,77719.0,829.0,7.6
94,46,2359.0,26,Else,Simpson Home,16.4,40443.0,733.0,7.1
95,39,2346.0,24,Homer Simpson,Simpson Home,15.6,51100.0,782.0,7.7
96,31,2493.0,16,Marge Simpson,Springfield Elementary School,15.0,51024.0,760.0,7.3
97,34,2244.0,20,Else,Elsewhere,15.4,49986.0,668.0,7.2
98,46,2213.0,13,Homer Simpson,Elsewhere,17.6,49811.0,731.0,7.4
99,28,1813.0,20,Homer Simpson,Elsewhere,13.3,49065.0,719.0,6.9
100,45,2476.0,19,Homer Simpson,Simpson Home,13.8,50070.0,666.0,7.3
101,43,1792.0,17,Homer Simpson,Simpson Home,13.0,77136.0,824.0,7.5
102,27,2454.0,18,Else,Moe's Tavern,14.4,44651.0,698.0,7.2
103,28,2376.0,17,Homer Simpson,Simpson Home,12.9,45288.0,716.0,7.7
104,28,1953.0,21,Homer Simpson,Simpson Home,13.2,42977.0,683.0,7.5
105,25,2042.0,16,Else,Simpson Home,13.2,44787.0,656.0,6.5
106,21,1437.0,16,Homer Simpson,Simpson Home,11.1,50694.0,670.0,7.0
107,19,1090.0,5,Homer Simpson,Elsewhere,12.3,46335.0,721.0,5.6
108,45,2354.0,23,Homer Simpson,Elsewhere,23.6,57400.0,1445.0,8.7
109,40,2105.0,21,Bart Simpson,Simpson Home,13.3,43130.0,645.0,7.0
110,39,2054.0,19,Else,Simpson Home,15.5,48110.0,628.0,7.3
111,46,2414.0,22,Homer Simpson,Simpson Home,12.8,47170.0,598.0,7.3
112,43,2336.0,19,Homer Simpson,Simpson Home,13.4,46336.0,598.0,6.8
113,30,2450.0,19,Homer Simpson,Simpson Home,13.0,47386.0,557.0,7.3
114,34,2810.0,15,Homer Simpson,Simpson Home,12.02,49263.0,649.0,7.2
115,48,2523.0,23,Homer Simpson,Simpson Home,10.56,47288.0,570.0,6.9
116,33,2349.0,19,Else,Simpson Home,13.44,45931.0,697.0,7.7
117,36,2350.0,19,Homer Simpson,Simpson Home,12.4,34590.0,595.0,7.3
118,25,1785.0,19,Homer Simpson,Simpson Home,11.7,39180.0,586.0,7.2
119,57,2329.0,27,Homer Simpson,Simpson Home,11.3,40667.0,588.0,7.2
120,29,1994.0,13,Homer Simpson,Simpson Home,16.3,42776.0,607.0,7.3
121,22,2117.0,15,Lisa Simpson,Simpson Home,12.6,43969.0,589.0,7.1
122,39,2604.0,18,Homer Simpson,Simpson Home,11.2,47246.0,560.0,6.9
123,43,2197.0,28,Marge Simpson,Simpson Home,9.3,47274.0,609.0,7.0
124,30,2163.0,20,Homer Simpson,Simpson Home,6.6,43128.0,587.0,7.3
125,34,2270.0,23,Else,Elsewhere,9.2,44954.0,553.0,7.2
126,22,2179.0,15,Marge Simpson,Simpson Home,9.95,40958.0,556.0,7.1
127,39,2452.0,13,Homer Simpson,Simpson Home,10.31,44210.0,539.0,7.1
128,35,2544.0,17,Else,Moe's Tavern,9.97,46256.0,523.0,7.0
129,34,2493.0,10,Homer Simpson,Simpson Home,10.39,49371.0,580.0,7.1
130,40,2318.0,29,Homer Simpson,Elsewhere,10.28,44914.0,586.0,7.0
131,48,2372.0,27,Homer Simpson,Elsewhere,7.48,45174.0,535.0,6.9
132,33,2222.0,19,Else,Simpson Home,10.79,50610.0,562.0,7.2
133,44,2403.0,24,Homer Simpson,Simpson Home,10.05,46504.0,575.0,7.3
134,28,2518.0,18,Homer Simpson,Simpson Home,11.1,33933.0,618.0,6.3
135,47,2058.0,21,Homer Simpson,Simpson Home,25.7,84874.0,1209.0,8.3
136,39,2167.0,20,Homer Simpson,Simpson Home,11.46,39577.0,560.0,6.7
137,47,1971.0,23,Else,Simpson Home,9.8,43082.0,553.0,6.9
138,34,2068.0,10,Else,Simpson Home,9.51,39745.0,597.0,6.4
139,26,2194.0,18,Homer Simpson,Elsewhere,8.75,44012.0,558.0,7.0
140,34,2044.0,17,Else,Simpson Home,7.83,42303.0,577.0,6.6
141,42,2604.0,24,Homer Simpson,Simpson Home,8.5,43162.0,558.0,6.7
142,35,2132.0,22,Else,Elsewhere,11.5,41321.0,754.0,7.5
143,27,2107.0,17,Homer Simpson,Simpson Home,9.72,41865.0,623.0,6.8
144,33,2199.0,26,Homer Simpson,Elsewhere,11.43,42160.0,656.0,6.9
145,37,2037.0,13,Homer Simpson,Simpson Home,10.9,43032.0,603.0,7.0
146,42,2160.0,15,Else,Simpson Home,8.96,43700.0,624.0,6.4
147,38,2076.0,20,Bart Simpson,Simpson Home,8.27,52730.0,672.0,7.0
148,49,2449.0,15,Bart Simpson,Elsewhere,9.09,41561.0,644.0,7.1
149,32,1949.0,19,Homer Simpson,Simpson Home,6.91,42602.0,610.0,7.2
150,30,1872.0,21,Homer Simpson,Simpson Home,7.72,46262.0,542.0,7.1
151,26,1806.0,18,Bart Simpson,Elsewhere,9.8,45026.0,1179.0,8.1
152,30,1968.0,19,Homer Simpson,Elsewhere,8.4,33792.0,684.0,6.7
153,27,2062.0,15,Homer Simpson,Simpson Home,10.57,39369.0,591.0,6.7
154,36,2495.0,20,Else,Elsewhere,9.0,42596.0,673.0,7.1
155,48,2317.0,15,Homer Simpson,Simpson Home,8.2,44512.0,633.0,6.9
156,19,1845.0,14,Bart Simpson,Springfield Elementary School,8.18,42141.0,788.0,7.7
157,38,2258.0,12,Homer Simpson,Simpson Home,7.1,41735.0,580.0,6.7
158,30,2098.0,23,Bart Simpson,Simpson Home,7.69,41118.0,601.0,6.9
159,34,2106.0,16,Homer Simpson,Simpson Home,6.02,39443.0,613.0,7.1
160,25,1970.0,17,Bart Simpson,Simpson Home,7.43,38186.0,681.0,6.9
161,0,0.0,0,Else,Elsewhere,12.48,21509.0,757.0,7.1
162,28,1479.0,20,Homer Simpson,Simpson Home,25.5,49139.0,1105.0,7.2
163,22,2152.0,21,Lisa Simpson,Elsewhere,5.99,43663.0,652.0,7.2
164,38,2309.0,15,Homer Simpson,Simpson Home,5.94,42390.0,554.0,7.0
165,36,2225.0,24,Marge Simpson,Elsewhere,5.16,44718.0,591.0,6.3
166,38,2314.0,15,Homer Simpson,Elsewhere,8.31,39936.0,698.0,7.1
167,49,2074.0,20,Lisa Simpson,Elsewhere,9.02,37909.0,529.0,6.8
168,34,2405.0,22,Homer Simpson,Simpson Home,8.65,36227.0,481.0,6.8
169,35,2258.0,20,Homer Simpson,Simpson Home,5.11,40854.0,532.0,7.1
170,22,2144.0,26,Homer Simpson,Simpson Home,5.23,41357.0,480.0,7.1
171,24,2475.0,19,Homer Simpson,Elsewhere,5.69,44070.0,675.0,5.7
172,28,2373.0,20,Else,Simpson Home,5.66,40904.0,491.0,6.9
173,43,2418.0,15,Else,Simpson Home,5.74,41830.0,507.0,6.6
174,35,2246.0,15,Homer Simpson,Elsewhere,8.59,35051.0,506.0,6.8
175,27,2276.0,15,Lisa Simpson,Simpson Home,8.97,40637.0,482.0,7.2
176,30,2209.0,15,Bart Simpson,Simpson Home,9.54,43781.0,564.0,6.9
177,27,2189.0,26,Homer Simpson,Simpson Home,7.18,40276.0,528.0,7.0
178,32,1882.0,15,Homer Simpson,Simpson Home,6.5,42691.0,486.0,7.0
179,39,2168.0,20,Homer Simpson,Elsewhere,6.35,42693.0,559.0,7.2
180,28,2081.0,15,Homer Simpson,Elsewhere,5.44,38893.0,481.0,6.1
181,27,2289.0,16,Else,Elsewhere,4.99,41560.0,491.0,7.0
182,36,2174.0,29,Lisa Simpson,Springfield Elementary School,6.0,46660.0,505.0,7.3
183,39,2261.0,22,Homer Simpson,Simpson Home,8.08,39209.0,672.0,7.2
184,33,1840.0,11,Homer Simpson,Simpson Home,8.1,63816.0,654.0,6.6
185,26,2360.0,18,Homer Simpson,Simpson Home,7.5,42746.0,562.0,7.2
186,25,2442.0,24,Else,Elsewhere,9.01,39002.0,476.0,6.2
187,33,2644.0,16,Homer Simpson,Simpson Home,5.07,44074.0,549.0,6.1
188,46,1992.0,16,Else,Moe's Tavern,5.12,39838.0,562.0,5.7
189,0,0.0,0,Else,Elsewhere,7.03,,543.0,6.7
190,48,2487.0,10,Homer Simpson,Elsewhere,17.9,82216.0,1274.0,8.5
191,32,2220.0,10,Homer Simpson,Simpson Home,4.86,43422.0,470.0,7.1
192,35,2308.0,18,Homer Simpson,Springfield Elementary School,4.84,43544.0,405.0,6.9
193,42,2436.0,12,Lisa Simpson,Elsewhere,4.82,44434.0,1215.0,4.5
194,42,2426.0,17,Else,Elsewhere,5.06,36897.0,426.0,6.3
195,24,2403.0,20,Homer Simpson,Simpson Home,3.77,40726.0,441.0,7.2
196,37,1988.0,18,Else,Springfield Elementary School,5.04,41542.0,408.0,7.0
197,44,2460.0,16,Else,Elsewhere,4.19,41828.0,471.0,6.5
198,29,2298.0,15,Else,Simpson Home,4.66,39510.0,423.0,6.2
199,33,2402.0,17,Homer Simpson,Elsewhere,4.11,43471.0,425.0,6.5
200,28,2503.0,12,Else,Simpson Home,4.43,42810.0,371.0,6.8
201,27,2046.0,22,Homer Simpson,Simpson Home,6.37,47531.0,635.0,7.0
202,30,2288.0,14,Homer Simpson,Simpson Home,4.2,44551.0,489.0,6.7
203,33,2375.0,18,Lisa Simpson,Springfield Elementary School,6.78,39590.0,468.0,6.5
204,44,1893.0,11,Marge Simpson,Simpson Home,8.48,39290.0,449.0,6.5
205,27,2175.0,11,Homer Simpson,Simpson Home,3.87,44119.0,431.0,7.2
206,41,2268.0,25,Else,Elsewhere,3.75,44512.0,468.0,6.7
207,22,2647.0,19,Homer Simpson,Simpson Home,3.98,41726.0,414.0,7.0
208,25,2576.0,13,Homer Simpson,Simpson Home,4.3,45184.0,415.0,6.5
209,0,0.0,0,Else,Elsewhere,4.39,65613.0,705.0,7.7
210,46,2235.0,20,Bart Simpson,Springfield Elementary School,3.28,46408.0,416.0,6.7
211,24,1620.0,12,Homer Simpson,Simpson Home,4.27,38411.0,490.0,6.9
212,27,2295.0,22,Else,Simpson Home,4.22,36410.0,442.0,6.3
213,32,1940.0,16,Homer Simpson,Simpson Home,6.7,43513.0,456.0,6.9
214,31,2039.0,16,Homer Simpson,Elsewhere,10.62,36622.0,578.0,6.8
215,22,2460.0,17,Homer Simpson,Simpson Home,3.29,35848.0,439.0,5.8
216,0,0.0,0,Else,Elsewhere,3.23,40157.0,334.0,6.7
217,16,2468.0,17,Else,Elsewhere,33.5,64776.0,1578.0,7.5
218,24,2684.0,25,Homer Simpson,Simpson Home,31.2,60458.0,1539.0,7.8
219,22,2379.0,17,Homer Simpson,Simpson Home,27.1,57590.0,1567.0,7.9
220,28,2560.0,10,Homer Simpson,Springfield Nuclear Power Plant,29.9,58553.0,1588.0,8.3
221,11,2391.0,15,Homer Simpson,Elsewhere,27.4,130282.0,1786.0,8.2
222,39,2702.0,21,Homer Simpson,Elsewhere,26.1,49005.0,1381.0,7.5
223,28,2373.0,12,Bart Simpson,Simpson Home,25.9,47539.0,1324.0,7.7
224,24,2427.0,11,Marge Simpson,Simpson Home,22.2,55413.0,1402.0,8.1
225,27,2881.0,16,Homer Simpson,Elsewhere,26.8,51182.0,1392.0,8.2
226,21,2473.0,15,Else,Simpson Home,23.9,46823.0,1241.0,7.5
227,23,2256.0,9,Homer Simpson,Simpson Home,23.9,47780.0,1264.0,7.5
228,28,2965.0,17,Homer Simpson,Simpson Home,19.7,51997.0,1246.0,7.9
229,0,0.0,0,Else,Elsewhere,2.77,43978.0,335.0,6.8
230,0,0.0,0,Else,Elsewhere,6.02,178.0,395.0,6.7
231,0,0.0,0,Else,Elsewhere,3.48,175.0,335.0,6.8
232,0,0.0,0,Else,Elsewhere,5.97,182.0,698.0,8.4
233,0,0.0,0,Else,Elsewhere,8.33,172.0,309.0,6.8
234,0,0.0,0,Else,Elsewhere,,,,
235,0,0.0,0,Else,Elsewhere,,,,
236,0,0.0,0,Else,Elsewhere,,,,
237,0,0.0,0,Else,Elsewhere,3.1,144.0,293.0,6.6
238,0,0.0,0,Else,Elsewhere,3.07,201.0,262.0,7.3
239,0,0.0,0,Else,Elsewhere,2.77,192.0,229.0,7.1
240,0,0.0,0,Else,Elsewhere,2.8,228.0,227.0,6.4
241,37,2903.0,22,Homer Simpson,Simpson Home,26.7,171408.0,3734.0,8.2
242,21,2730.0,12,Bart Simpson,Springfield Elementary School,24.5,91423.0,1973.0,7.8
243,33,2699.0,25,Homer Simpson,Elsewhere,20.2,67378.0,1701.0,7.8
244,18,2395.0,19,Homer Simpson,Elsewhere,27.4,55355.0,1674.0,7.6
245,35,2599.0,18,Bart Simpson,Elsewhere,28.0,66311.0,1580.0,7.7
246,32,2864.0,13,Bart Simpson,Elsewhere,21.0,50403.0,1379.0,8.4
247,36,2911.0,11,Homer Simpson,Simpson Home,22.9,55238.0,1798.0,8.6
248,33,2754.0,13,Homer Simpson,Simpson Home,22.8,53499.0,1302.0,8.2
249,39,2779.0,14,Else,Simpson Home,20.6,50601.0,1452.0,8.5
250,26,2178.0,21,Else,Simpson Home,20.1,53404.0,1122.0,8.1
251,38,1905.0,19,Homer Simpson,Simpson Home,23.8,59040.0,1176.0,8.1
252,35,2108.0,20,Bart Simpson,Elsewhere,24.0,110251.0,1437.0,8.7
253,46,2328.0,30,Else,Elsewhere,23.0,88171.0,2028.0,9.0
254,41,2250.0,22,Lisa Simpson,Simpson Home,25.2,62309.0,1268.0,8.3
255,55,2287.0,27,Homer Simpson,Springfield Nuclear Power Plant,20.6,59350.0,1308.0,8.4
256,29,2286.0,17,Homer Simpson,Simpson Home,23.4,49665.0,1165.0,7.7
257,48,2401.0,22,Homer Simpson,Simpson Home,20.0,103012.0,1369.0,8.2
258,25,2528.0,16,Homer Simpson,Simpson Home,23.0,53093.0,1243.0,7.9
259,30,2272.0,12,Homer Simpson,Simpson Home,22.9,69527.0,1163.0,7.8
260,29,2508.0,24,Homer Simpson,Simpson Home,21.9,47880.0,1213.0,8.2
261,38,2051.0,13,Else,Springfield Nuclear Power Plant,22.4,71907.0,1827.0,9.0
262,36,3052.0,14,Homer Simpson,Simpson Home,23.2,49457.0,1179.0,8.0
263,35,2464.0,25,Else,Simpson Home,17.5,50068.0,1176.0,7.7
264,50,2173.0,10,Homer Simpson,Simpson Home,19.5,57149.0,1479.0,8.9
265,40,2151.0,24,Homer Simpson,Simpson Home,23.7,58991.0,1176.0,8.0
266,39,2896.0,19,Else,Elsewhere,24.6,72378.0,1637.0,8.6
267,46,2197.0,18,Else,Simpson Home,20.0,60739.0,1234.0,8.1
268,52,2225.0,19,Homer Simpson,Simpson Home,19.0,52203.0,1194.0,7.8
269,52,2047.0,23,Else,Simpson Home,19.4,59948.0,1269.0,8.2
270,19,2550.0,15,Else,Simpson Home,17.3,57582.0,1233.0,8.2
271,23,2052.0,8,Marge Simpson,Simpson Home,18.3,54487.0,1339.0,8.1
272,52,1658.0,20,Else,Simpson Home,25.1,108171.0,1394.0,8.4
273,44,2158.0,21,Homer Simpson,Simpson Home,24.0,63564.0,1595.0,8.8
274,29,2512.0,18,Else,Elsewhere,21.8,58716.0,1171.0,8.3
275,37,2286.0,27,Homer Simpson,Elsewhere,18.0,69996.0,1191.0,8.5
276,35,2346.0,18,Else,Elsewhere,14.7,81678.0,1143.0,8.4
277,36,2229.0,17,Else,Elsewhere,14.2,61246.0,1023.0,8.0
278,26,2322.0,22,Homer Simpson,Simpson Home,14.1,64719.0,1060.0,8.0
279,33,2673.0,20,Else,Elsewhere,12.9,57830.0,1103.0,8.2
280,45,2300.0,12,Else,Springfield Elementary School,18.7,67619.0,1221.0,8.6
281,31,2356.0,15,Marge Simpson,Elsewhere,14.5,70120.0,1088.0,8.3
282,25,2605.0,12,Marge Simpson,Elsewhere,14.4,58572.0,962.0,7.7
283,26,2151.0,16,Bart Simpson,Simpson Home,15.1,80724.0,1353.0,8.5
284,32,2359.0,10,Homer Simpson,Simpson Home,17.0,81426.0,1633.0,9.0
285,34,2741.0,17,Homer Simpson,Simpson Home,15.6,67959.0,1060.0,8.0
286,31,2617.0,19,Lisa Simpson,Elsewhere,16.7,54225.0,1156.0,8.1
287,47,2343.0,21,Homer Simpson,Simpson Home,14.4,71936.0,1223.0,8.5
288,37,2583.0,25,Lisa Simpson,Elsewhere,14.4,74266.0,1190.0,8.3
289,31,2243.0,20,Marge Simpson,Simpson Home,13.5,42576.0,1051.0,6.0
290,43,2382.0,19,Lisa Simpson,Simpson Home,14.6,69245.0,1288.0,8.5
291,52,2518.0,32,Else,Simpson Home,11.8,74788.0,1004.0,8.1
292,50,2435.0,23,Else,Elsewhere,14.4,76932.0,1142.0,8.3
293,28,2403.0,14,Bart Simpson,Elsewhere,15.3,62450.0,1150.0,8.0
294,32,2814.0,13,Lisa Simpson,Elsewhere,16.0,67579.0,1497.0,8.9
295,35,2504.0,23,Homer Simpson,Elsewhere,12.7,79777.0,1003.0,8.2
296,14,2626.0,13,Else,Springfield Nuclear Power Plant,14.1,68354.0,1609.0,8.9
297,42,2525.0,17,Homer Simpson,Elsewhere,17.0,71577.0,1655.0,9.0
298,29,2319.0,16,Homer Simpson,Elsewhere,20.1,71002.0,1457.0,8.9
299,29,2193.0,5,Else,Elsewhere,16.4,56153.0,1038.0,7.5
300,30,2588.0,9,Else,Elsewhere,16.5,64224.0,1264.0,8.7
301,29,2349.0,10,Lisa Simpson,Elsewhere,13.4,58795.0,1039.0,8.1
302,33,2686.0,14,Homer Simpson,Simpson Home,15.3,61085.0,1226.0,8.5
303,30,2382.0,13,Else,Elsewhere,13.0,69120.0,1122.0,8.3
304,50,2397.0,15,Homer Simpson,Elsewhere,12.9,60569.0,1095.0,8.0
305,35,2261.0,16,Homer Simpson,Simpson Home,12.9,20008.0,980.0,8.1
306,33,2137.0,13,Homer Simpson,Simpson Home,17.7,57608.0,1088.0,7.7
307,27,2076.0,13,Homer Simpson,Simpson Home,18.3,102077.0,1186.0,8.3
308,22,2570.0,16,Else,Elsewhere,15.1,56659.0,1100.0,8.2
309,38,2612.0,12,Else,Moe's Tavern,17.0,61146.0,1085.0,8.0
310,52,2494.0,8,Homer Simpson,Elsewhere,14.1,60210.0,1098.0,8.2
311,29,2160.0,20,Lisa Simpson,Springfield Nuclear Power Plant,7.6,55316.0,880.0,7.7
312,24,2452.0,14,Bart Simpson,Elsewhere,8.5,21811.0,905.0,7.9
313,31,2402.0,18,Marge Simpson,Elsewhere,10.6,25183.0,888.0,7.5
314,32,2661.0,19,Else,Simpson Home,14.0,56833.0,967.0,7.9
315,26,2597.0,14,Homer Simpson,Simpson Home,12.8,60956.0,1008.0,8.0
316,35,2428.0,15,Lisa Simpson,Simpson Home,15.1,54247.0,1020.0,8.1
317,35,2526.0,11,Else,Simpson Home,9.5,20298.0,878.0,7.5
318,35,2277.0,14,Homer Simpson,Simpson Home,10.3,30921.0,1081.0,8.2
319,28,2613.0,14,Else,Springfield Elementary School,13.3,60584.0,995.0,8.2
320,37,2510.0,14,Else,Elsewhere,,66281.0,1268.0,8.8
321,56,2260.0,36,Homer Simpson,Simpson Home,9.0,23127.0,1026.0,8.3
322,30,2369.0,16,Else,Moe's Tavern,11.6,57926.0,1006.0,7.3
